Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO;POLUIÇÃO
41_2022;HALF CRAZY;1;CPRIOJ;CPRIOJ;BRASIL;0;6,6;19:36;07/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-23,00472222;-43,26138889;0;0;0;3826676025;FIBRA;;
13_2022;BUMERANGUE I;3;CPNATL;CPNATL;BRASIL;6;10,51;14:30;07/SET/2022;BOTE;CABOTAGEM;PESCA;MOTOR;EMPREGO DA EMBARCAÇÃO EM ILÍCITO PENAL OU FAZENDÁRIO;-5,72972222;-35,04444444;0;0;0;1830055178;MADEIRA;NÃO POSSUI;
32_2022;PAI E FILHO;1;CPMCAE;CPMCAE;BRASIL;10;12,2;11:00;07/SET/2022;TRAINEIRA;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-22,05694444;-41,03166667;0;0;0;3877047262;MADEIRA;NÃO POSSUI;
33_2022;A.H.  CAMOGLI;1;CPMCAE;CPMCAE;ILHAS MARSHALL;2,972;75,2;3:15;09/SET/2022;SUPPLY;APOIO-MARÍTIMO;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-22,40111111;-41,73416667;0;0;0;381E005933;AÇO;;
54-A/2022;SALVADORA II;8;CPSANT;CPSANT;BRASIL;460;34;14:15;21/AGO/2022;CABREA;INTERIOR;CARGA;MOTOR;EXPOR A RISCO;-23,95944444;-46,29888889;0;0;0;3410001239;AÇO;;
53-A/2022;DIAMOND SEA;8;CPSANT;CPSANT;MALTA;31,617;190;19:00;17/AGO/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;AVARIA NA CARGA;-23,96416667;-46,30222222;0;0;0;SOLAS-IMO 9468152;AÇO;;
55-4/2022;TANGARÁ III;8;CPSANT;CPSANT;BRASIL;2;5,5;16:55;02/SET/2022;BOTE;INTERIOR;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;EXPLOSÃO;-23,98277778;-46,39361111;0;0;0;4019919828;FIBRA;;
56-A/2022;KITARO - EMANOEL II;8;CPSANT;CPSANT;BRASIL;0;4,3;11:27;02/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-24,18888889;-46,79666667;0;0;0;401M2012013855;FIBRA;;
16_2022;RISING HARRIER;8;CPAGUA;CPAGUA;SÃO VICENTE E  GRANADINAS;27,681;190;7:00;09/SET/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;-25,61138889;-48,31083333;0;0;0;SOLAS-IMO 9122291;AÇO;;
27_2022;SSV Victoria;1;CPVITO;CPVITO;LIBÉRIA;41,160;108,8;18:15;01/SET/2022;PLATAFORMA;APOIO-MARÍTIMO;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-21,23000000;-39,97944444;0;1;0;381E006271;AÇO;;
25_2022;CLIPPER APOLLONIA;1;CPVITO;CPVITO;ILHAS MARSHALL;20,809;179,9;5:20;08/SET/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;TRANSPORTE DE TÓXICOS/CONTRABANDO/MERCADORIA ILEGAL;-20,29361111;-40,23472222;0;0;0;SOLAS-IMO 9527996;AÇO;;
26_2022;PETROBRAS 58;1;CPVITO;CPVITO;ILHAS MARSHALL;155,330;330;#VALOR!;07etembro d;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-21,20333333;-39,99694444;0;0;0;AIT 461E000971;AÇO;;
16_2022;PACIFIC WARRIOR;4;CPLUIZ;CPLUIZ;HONG KONG;201,989;360;15:42;08/AGO/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;;;0;0;0;SOLAS- IMO 9532525;AÇO;;
14_2022;OTARCILIO JUNIO;3;CPNATL;CPNATL;BRASIL;6;8;12:00;13/SET/2022;BARCO;CABOTAGEM;PESCA;MOTOR;ACIDENTE DE MERGULHO;-5,16694444;-35,46750000;0;1;0;18.200.234.010;MADEIRA;NÃO POSSUI;
12_2022;PRINCESA;8;CPFTPR;CPFTPR;BRASIL;1,8;5,66;14:00;11/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-22,50000000;-48,55805556;0;0;0;403018675;FIBRA;;
05_2022;PORTO AREALVA XXV -  PARA;1;CFBELZ;CFBELZ;BRASIL;20;20;16:05;14/JUL/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;-19,26388889;-50,77388889;0;0;0;405412709-6;AÇO;;
008_2022;BLUE LAKE;7;CPFBRA;CPFBRA;BRASIL;175;23,7;13:00;14/SET/2022;OUTRAS EMBARCAÇÕES;INTERIOR;ESPORTE E RECREIO;MOTOR;IMPROPRIEDADE DA EMBARCAÇÃO PARA O FIM QUE É UTILIZADA;-15,78416667;-47,84888889;0;0;0;NÃO INSCRITA;FIBRA;;
